Key,ACADEMIC_PERIOD,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,COURSE_TITLE_SHORT,CREDITS_EARNED,CREDITS_FOR_GPA,FINAL_GRADE,REPEAT_COURSE_IND,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,GRADABLE_IND,Most_Recent_Prior_Term,Most_Recent_Prior_Term_GPA
048741,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201930,3.91612903
048766,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,2.40333333
048891,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.03529412
048925,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.92857143
048938,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.86885246
048948,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.89411765
048967,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A+,I,RW,**Web Registered**,Y,201910,4
048989,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,C,,RW,**Web Registered**,Y,201930,2.32580645
048993,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.085
048998,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.08
049005,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,C+,,RW,**Web Registered**,Y,201910,2.39230769
049012,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.8125
049026,201920,PWL,PHYS17200,018,25599,Modern Mechanics,0,4,F,,RW,**Web Registered**,Y,201910,0.76923077
049027,202010,PWL,PHYS17200,102,26930,Modern Mechanics,4,4,D+,,RW,**Web Registered**,Y,201930,2.54074074
049045,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.86
049047,201920,PWL,PHYS17200,013,13590,Modern Mechanics,0,0,,,DC,Drop Course,Y,201910,1.72307692
049047,201920,PWL,PHYS17200,014,25601,Modern Mechanics,0,0,,,DC,Drop Course,Y,201910,1.72307692
049053,201920,PWL,PHYS22000,001,25707,Gen Physics,4,4,A,,RW,**Web Registered**,Y,201910,3.8
049064,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.85352113
049070,201920,PWL,PHYS22000,001,25707,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,201910,2.56875
049071,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RE,**Registered**,Y,202020,2.46666667
049090,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.26129032
049111,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.67
049144,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.19285714
049153,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,2.68947368
049172,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.43846154
049181,202110,PWL,PHYS22000,062,25722,Gen Physics,0,0,,,RE,**Registered**,Y,202020,3.935
049189,202020,PWL,PHYS22000,003,11270,Gen Physics,4,4,B,,RW,**Web Registered**,Y,202010,3.00666667
049212,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.76666667
049217,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.99285714
049221,202010,PWL,PHYS22000,002,27016,Gen Physics,0,0,W,,W,Withdrawn-W,Y,201930,3.44
049226,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,2.87878788
049227,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.87142857
049229,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201930,3.334375
049256,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,2.48888889
049358,202110,PWL,PHYS22000,062,25722,Gen Physics,0,0,,,RE,**Registered**,Y,202020,3.2037037
