Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
044302,SAT2ACT,590,640,1230,28,33,,30
044315,,,,,,,,
044385,SAT2ACT,620,660,1280,25,25,,26
044402,SAT2ACT,,,,30,35,,24
044413,SAT2ACT,740,700,1440,33,35,,29
044416,SAT2ACT,700,740,1440,31,30,,30
044440,SAT2ACT,650,650,1290,,,,
044444,SAT2ACT,510,690,1200,,,,
044476,SAT2ACT,,,,33,34,,31
044478,SAT2ACT,,,,33,35,,30
044487,SAT2ACT,680,690,1370,,,,
044495,SAT2ACT,680,780,1440,31,30,,30
044504,SAT2ACT,520,510,1030,,,,
044505,SAT2ACT,660,590,1250,27,28,,27
044506,SAT2ACT,,,,28,26,,25
044517,SAT2ACT,650,680,1330,28,27,,28
044526,SAT2ACT,600,650,1250,25,24,,28
044533,SAT2ACT,720,730,1450,31,33,,29
044552,SAT2ACT,,,,32,32,,32
044637,SAT2ACT,690,690,1380,,,,
044648,SAT2ACT,580,680,1230,,,,
044652,SAT2ACT,610,670,1280,,,,
044690,SAT2ACT,490,510,1000,18,15,,17
044712,SAT2ACT,760,720,1480,,,,
044716,SAT2ACT,590,730,1320,28,24,,30
044721,SAT2ACT,610,630,1240,27,24,,27
044722,SAT2ACT,670,780,1450,33,30,,33
044726,SAT2ACT,590,610,1200,,,,
044727,SAT2ACT,690,650,1340,,,,
044744,SAT2ACT,730,680,1410,31,32,,28
044749,SAT2ACT,600,620,1220,28,25,,28
044763,SAT2ACT,690,650,1340,33,33,,29
044873,SAT2ACT,570,690,1260,,,,
044926,SAT2ACT,710,740,1420,,,,
044929,SAT2ACT,700,690,1390,31,28,,30
044931,SAT2ACT,560,660,1220,25,23,,27
044934,SAT2ACT,730,610,1340,,,,
044968,SAT2ACT,590,550,1140,,,,
044986,SAT2ACT,,,,24,23,,25
044991,SAT2ACT,670,780,1450,,,,
045010,SAT2ACT,500,600,1100,,,,
045013,SAT2ACT,650,630,1280,24,22,,26
045020,SAT2ACT,,,,29,31,,29
045087,SAT2ACT,650,570,1160,24,24,,24
045111,SAT2ACT,600,710,1310,,,,
045114,SAT2ACT,630,680,1310,27,27,,26
045121,SAT2ACT,680,720,1400,,,,
045134,SAT2ACT,640,700,1340,26,26,,28
045137,SAT2ACT,660,710,1370,,,,
045153,SAT2ACT,660,750,1410,30,30,,31
045156,SAT2ACT,,,,29,27,,29
045159,SAT2ACT,450,550,980,17,15,,17
045259,SAT2ACT,560,540,1100,18,15,,23
045262,SAT2ACT,640,670,1310,34,34,,33
045269,SAT2ACT,590,580,1170,,,,
045273,SAT2ACT,,,,33,33,,31
045277,SAT2ACT,,,,32,30,,34
045282,SAT2ACT,680,750,1430,29,27,,34
045285,SAT2ACT,620,750,1370,,,,
045311,SAT2ACT,,,,31,30,,29
045403,SAT2ACT,730,640,1370,31,33,,27
045415,SAT2ACT,600,530,1100,,,,
045416,SAT2ACT,730,800,1530,,,,
045451,,,,,,,,
045466,SAT2ACT,690,680,1370,31,29,,28
045474,SAT2ACT,620,700,1300,,,,
045481,SAT2ACT,,,,34,35,,33
045506,SAT2ACT,,,,28,28,,30
045507,SAT2ACT,670,720,1390,,,,
045526,SAT2ACT,560,620,1180,23,21,,26
045537,SAT2ACT,660,730,1390,30,28,,33
045543,SAT2ACT,730,780,1510,32,34,,30
045554,SAT2ACT,,,,26,24,,31
045555,SAT2ACT,660,700,1360,,,,
045568,SAT2ACT,710,730,1440,31,35,,33
045577,SAT2ACT,640,560,1200,26,22,,25
045616,SAT2ACT,,,,28,32,,28
045618,SAT2ACT,630,690,1300,27,26,,29
045646,SAT2ACT,,,,30,33,,27
045650,SAT2ACT,600,710,1310,26,22,,28
045663,SAT2ACT,640,620,1250,26,25,,27
045668,SAT2ACT,690,690,1330,,,,
045671,SAT2ACT,570,640,1210,25,25,,27
045673,SAT2ACT,620,590,1210,,,,
045691,SAT2ACT,700,780,1480,28,24,,29
045698,SAT2ACT,690,780,1470,,,,
045725,SAT2ACT,530,550,1080,23,23,,26
045754,SAT2ACT,710,800,1510,33,28,,35
045761,SAT2ACT,710,660,1370,,,,
045784,SAT2ACT,610,680,1290,28,26,,30
045834,SAT2ACT,640,710,1350,30,23,,33
045874,SAT2ACT,630,610,1240,,,,
045886,SAT2ACT,610,600,1210,,,,
045893,SAT2ACT,,,,30,27,,31
045905,SAT2ACT,,,,26,31,,25
045931,SAT2ACT,670,720,1390,,,,
045934,SAT2ACT,710,750,1460,32,31,,34
045951,SAT2ACT,640,610,1250,,,,
045953,SAT2ACT,620,610,1230,,,,
