Key,CONFIDENTIALITY_IND,GENDER,GENDER_DESC,REPORTING_ETHNICITY_CODE,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE,ADMISSIONS_ATTRIBUTE_DESC,RESIDENCY,RESIDENCY_DESC,ADDRESS_RULE,COUNTY,COUNTY_DESC,STATE_PROVINCE,STATE_PROVINCE_DESC,NATION,NATION_DESC
044487,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,26093,Livingston,MI,Michigan,,
044495,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
044504,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,,,IN,Indiana,US,United States
044505,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
044506,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,55059,Kenosha,WI,Wisconsin,,
044517,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
044526,N,F,Female,B,White,N,,,R,Resident,PERMADDR,26081,Kent,MI,Michigan,,
044533,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
044552,N,F,Female,X,2 or more races,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
044637,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
044648,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18085,Kosciusko,IN,Indiana,,
044652,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18085,Kosciusko,IN,Indiana,,
044690,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18165,Vermillion,IN,Indiana,,
044712,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18093,Lawrence,IN,Indiana,US,United States
044716,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
044721,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
044722,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
044726,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
044727,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18139,Rush,IN,Indiana,,
044744,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18059,Hancock,IN,Indiana,,
044749,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18107,Montgomery,IN,Indiana,,
044763,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18059,Hancock,IN,Indiana,,
044873,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
044926,N,M,Male,D,Asian,N,,,N,Non-Resident,PERMADDR,42091,Montgomery,PA,Pennsylvania,,
044929,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18047,Franklin,IN,Indiana,,
044931,N,M,Male,X,2 or more races,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
044934,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18071,Jackson,IN,Indiana,,
044968,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
044986,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
044991,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,48121,Denton,TX,Texas,,
045010,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
045013,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18135,Randolph,IN,Indiana,,
045020,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,55005,Barron,WI,Wisconsin,,
045087,N,M,Male,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,US,United States
045111,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18103,Miami,IN,Indiana,,
045114,N,M,Male,Y,Hispanic/Latino,Y,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
045121,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,36103,Suffolk,NY,New York,,
045134,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
045137,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
045153,N,M,Male,Z,Unknown,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045156,N,F,Female,X,2 or more races,N,,,N,Non-Resident,PERMADDR,55127,Walworth,WI,Wisconsin,,
045159,N,F,Female,C,Black or African American,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045259,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18019,Clark,IN,Indiana,,
045262,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
045269,N,F,Female,D,Asian,N,,,N,Non-Resident,PERMADDR,13117,Forsyth,GA,Georgia,,
045273,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
045277,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
045282,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18059,Hancock,IN,Indiana,,
045285,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,39037,Darke,OH,Ohio,,
045311,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045403,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18105,Monroe,IN,Indiana,,
045415,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,51059,Fairfax,VA,Virginia,,
045416,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,26065,Ingham,MI,Michigan,,
045451,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
045466,N,F,Female,X,2 or more races,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045474,N,M,Male,C,Black or African American,Y,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045481,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17097,Lake,IL,Illinois,,
045506,N,F,Female,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,17063,Grundy,IL,Illinois,,
045507,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
045526,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18029,Dearborn,IN,Indiana,,
045537,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
045543,N,F,Female,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,US,United States
045554,N,F,Female,D,Asian,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
045555,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,09003,Hartford,CT,Connecticut,,
045568,N,F,Female,Z,Unknown,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045577,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18033,Dekalb,IN,Indiana,,
045616,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,34027,Morris,NJ,New Jersey,,
045618,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
045646,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,17197,Will,IL,Illinois,,
045650,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
045663,N,F,Female,C,Black or African American,Y,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045668,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
045671,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18023,Clinton,IN,Indiana,,
045673,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
045691,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
045698,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
045725,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
045754,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18173,Warrick,IN,Indiana,,
045761,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,26045,Eaton,MI,Michigan,,
045784,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18037,Dubois,IN,Indiana,,
