PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
063002,201830,99ADPL,Advance Placement - CEEB,PHYS27200,E&M Interactions,Y,4
063113,,,,,,,
064018,,,,,,,
064053,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
064547,,,,,,,
065120,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
065120,201910,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
065779,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
065779,201830,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
066374,,,,,,,
066382,,,,,,,
066715,,,,,,,
066962,,,,,,,
067124,,,,,,,
067397,201810,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
067397,201810,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
067672,,,,,,,
068583,,,,,,,
068852,,,,,,,
069048,,,,,,,
069474,,,,,,,
069635,,,,,,,
069842,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
069896,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
070568,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
070568,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
070739,,,,,,,
071173,,,,,,,
071231,,,,,,,
071452,,,,,,,
071650,,,,,,,
071710,,,,,,,
072266,,,,,,,
072544,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
072544,201830,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
072644,,,,,,,
072725,,,,,,,
073420,,,,,,,
073821,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
074467,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
074467,201830,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
074467,201830,99ADPL,Advance Placement - CEEB,PHYS17200,Modern Mechanics,Y,4
074467,201830,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
074752,,,,,,,
075676,,,,,,,
076035,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
076035,201830,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
076764,202130,99ADPL,Advance Placement - CEEB,MA15555,Quantitative Reasoning,Y,3
076877,,,,,,,
078113,,,,,,,
078140,,,,,,,
079224,,,,,,,
079597,,,,,,,
080591,,,,,,,
080711,,,,,,,
082630,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
083468,202110,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
083468,202110,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
085542,,,,,,,
087009,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
