PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
137351,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.7
137378,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.91666667
137418,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.24705882
137486,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.3
137651,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
137659,202120,Spring 2021,PHYS17200,28587,,,,
137741,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
137759,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.35294118
137768,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.6
137965,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
137994,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.55
138079,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.94
138135,202120,Spring 2021,PHYS17200,28590,,,,
138141,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.76923077
138152,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.95625
138165,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.92941177
138256,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3
