PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
069474,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.5
069635,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.525
069842,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.575
069896,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,1
070568,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.98461539
070739,202210,Fall 2021,PHYS22000,27016,202110,Fall 2020,Undergraduate,0.25
071173,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.68125
071231,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,0.825
071452,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.775
071650,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.06428571
071710,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.675
072266,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.03529412
072544,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.95
072644,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.46923077
072725,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.30833333
073420,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.6
073821,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
074467,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
074752,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,1.775
075676,202120,Spring 2021,PHYS22000,25707,,,,
076035,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.18666667
076764,202120,Spring 2021,PHYS22000,25707,,,Undergraduate,3.7
076877,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
078113,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,2.55384615
078140,202120,Spring 2021,PHYS22000,25708,,,Undergraduate,3.6
